"","Date","Silver_Change","Copper_Change","WTI_Change","Brent_Change","Gold_Change","USD_Change","Gas_Change","Wheat_Change","Maize_Change","Soyabeans_Change","GPR_Change"
"18",2024-05-14,0.009,-4e-04,-0.0121,-0.0118,0.0071,-0.002,-0.0155,-0.0055,-0.0064,-0.0036,-0.1354
"19",2024-05-13,-0.0022,0.02,0.0098,0.0069,-0.0133,-7e-04,0.0573,0.0208,0.0073,0.0015,1.1876
"20",2024-05-10,0.005,0.0125,-0.0122,-0.013,0.0148,7e-04,-0.0213,0.0179,0.0152,0.0088,0.2112
"21",2024-05-09,0.0275,0.0072,0.0031,0.0036,0.0076,-0.0031,0.0521,0.0018,-0.0057,-0.0153,-0.0434
"22",2024-05-08,0.0022,-0.0136,0.0064,0.0051,-8e-04,0.0012,-0.0091,-0.0036,-0.0116,-0.0137,-0.1157
"23",2024-05-07,-0.0024,-0.0017,-0.001,-0.002,-0.0029,0.0036,0.0055,0.0018,-0.001,0,0.8656
"24",2024-05-06,0.0343,0.0128,0.0049,0.0045,0.0098,0,0.0247,0.0196,0.0055,0.0268,0.0452
"25",2024-05-03,-0.0051,0.0156,-0.0092,-0.0085,-4e-04,-0.0025,0.0526,0.0143,0.0077,0.0163,-0.1823
"26",2024-05-02,0.003,-0.0133,5e-04,0.0028,-6e-04,-0.0043,0.0533,0.0073,0.0108,0.0311,0.0039
"27",2024-05-01,0.0035,-0.0048,-0.0349,-0.0503,0.0035,-0.0044,-0.0296,-0.0036,0.0044,0.0062,-0.2475
"28",2024-04-30,-0.036,-0.0238,-0.0091,-0.0061,-0.0232,0.0062,-0.0192,-0.008,-0.0012,-0.0146,-0.1351
"29",2024-04-29,0.0148,0.024,-0.0132,-0.0123,0.0044,-0.0034,0.2577,-0.0015,9e-04,0.0015,0.5771
"30",2024-04-26,-0.0035,0.008,0.0046,0.0055,0.002,0.0033,-0.0147,0.008,8e-04,-0.0023,-0.2121
"31",2024-04-25,4e-04,0.0119,0.008,0.0112,0.0018,-0.0024,-0.0091,0.0107,0.0067,-8e-04,0.2174
"32",2024-04-24,-6e-04,0.0058,-0.0057,-0.0045,-0.0014,0.0018,-0.0877,0.0127,-0.0077,-8e-04,-0.0651
"33",2024-04-23,0.0043,-0.0104,0.0081,0.0163,-0.0019,-0.0039,0.0117,0.0111,0.008,0.0069,-0.092
"34",2024-04-22,-0.0552,-0.0045,-0.0039,-0.0033,-0.0279,-7e-04,0.0223,0.0147,0.0109,0.01,0.8379
"35",2024-04-19,0.0162,0.0133,0.0015,0.0021,0.0066,0,-0.0028,0.0075,0.01,0.014,0.3295
"36",2024-04-18,-6e-04,0.0234,-6e-04,-0.0021,0.004,0.0021,0.0263,0.0049,-0.0057,-0.0125,-0.4202
"37",2024-04-17,9e-04,0.0071,-0.0316,-0.0303,-0.008,-0.0028,-0.0115,-0.0038,0.0048,0.0023,-0.4034
"38",2024-04-16,-0.0117,-0.0161,-4e-04,-9e-04,0.0104,6e-04,0.0242,-8e-04,-2e-04,-0.0078,0.389
"39",2024-04-15,0.0135,0.0259,-0.0026,-0.0039,0.0037,0.0016,-0.1666,-0.0025,-0.0047,-0.013,0.5169
"40",2024-04-12,0.0028,0.0023,0.0075,0.0079,7e-04,0.0073,0.0145,7e-04,0.0113,0.0138,0.2685
"41",2024-04-11,0.007,-0.0046,-0.0116,-0.0082,0.0103,3e-04,-0.0357,-0.0103,-0.008,-0.0054,-0.4997
"42",2024-04-10,0.0024,-0.002,0.0116,0.0119,-0.0058,0.0107,0.0048,0.0025,0.0148,-0.0084,0.1686
"43",2024-04-09,0.0063,0.0014,-0.0125,-0.0106,0.0049,2e-04,0.0063,-0.0015,-0.0036,-0.0031,0.3072
"44",2024-04-08,0.011,0.0081,-0.0066,-0.0087,0.0024,-0.0016,0.0204,0.0024,0.0085,-0.0015,0.5941
"45",2024-04-05,0.0097,-0.003,0.0034,0.0057,0.016,0.0017,0.0065,0.0058,-0.0031,0.0045,-0.1251
"46",2024-04-04,0.007,0.0129,0.0142,0.0145,-0.0028,-0.001,-0.0339,0.0035,0.0028,-0.0015,-0.122
"47",2024-04-03,0.0439,0.03,0.0046,0.0048,0.0146,-0.0054,-0.0181,0.0105,0.0097,0.01,-0.0848
"48",2024-04-02,0.0338,0.0055,0.0169,0.0172,0.0109,-0.0019,0.0149,-0.0059,-0.014,-0.01,0.4741
"49",2024-04-01,0.0087,0.0201,0.0049,-7e-04,0.0085,0.0047,0.1764,-0.0119,-0.0112,-0.0015,0.0269
"50",2024-03-28,0.0066,0.0017,0.0203,0.0161,0.0116,0.002,0.0262,0.0017,0.0252,-8e-04,-0.1942
"51",2024-03-27,0.0052,0.0012,-0.0032,-0.0019,0.0151,7e-04,0.0908,0.0026,-0.0084,-7e-04,-0.316
"52",2024-03-26,-0.0107,-0.0017,-0.0042,-0.0058,5e-04,5e-04,-0.0248,-0.0074,-0.0067,-0.0106,-0.1247
"53",2024-03-25,0.002,0.0029,0.0151,0.0155,0.0076,-0.0023,-0.0265,0.0013,5e-04,0.0144,1.0404
"54",2024-03-22,-0.0065,-0.0124,-0.0058,-0.0041,-0.0113,0.0049,-0.0143,0.0067,-0.0061,-0.0144,-0.0431
"55",2024-03-21,-0.0038,0.0022,-0.0078,-0.002,0.011,0.006,-0.0094,0.0027,0.0062,0.0038,0.1177
"56",2024-03-20,-0.0012,-0.0054,-0.0176,-0.0164,6e-04,-0.0042,-0.0258,-0.0022,-3e-04,0.0213,-0.4573
"57",2024-03-19,-0.0051,-0.013,0.0069,0.0056,-0.0022,2e-04,0.0241,0.0053,0.0044,0,0.2163
"58",2024-03-18,-0.0044,0.0016,0.0196,0.0182,0.0013,5e-04,0.029,0.0056,-0.0017,-0.0092,0.758
"59",2024-03-15,0.0128,0.0194,-0.002,-9e-04,-0.0027,7e-04,-0.0494,-0.011,0.0109,-8e-04,-0.3064
"60",2024-03-14,-0.0038,-0.0031,0.0182,0.0165,-0.006,0.0056,0.0501,-0.0078,-0.0119,-0.0038,0.223
"61",2024-03-13,0.0314,0.032,0.0265,0.0258,0.0067,-0.0016,-0.0327,-0.0081,0.0011,0.0023,-0.2853
"62",2024-03-12,-0.0128,0.001,-0.0036,-0.0035,-0.0101,8e-04,-0.0256,-8e-04,0,0.0138,0.2475
"63",2024-03-11,0.0067,0.0092,4e-04,0.0016,0.0017,0.0016,-0.0255,0.007,0.0064,-0.0061,0.4614
"64",2024-03-08,-0.0011,-0.0085,-0.0105,-0.0106,0.0093,-8e-04,-0.0072,-0.0067,0.0167,0.0186,0.3767
"65",2024-03-07,0.0034,0.0127,-0.0011,0,0.0033,-0.0053,-0.0575,0.0012,0.0097,0.0158,0.1236
"66",2024-03-06,0.0211,0.007,0.0129,0.0112,0.0075,-0.0042,-0.0143,-0.0033,0.0066,0.0032,0.258
"67",2024-03-05,-3e-04,-0.0024,-0.0097,-0.0092,0.0073,-2e-04,0.0214,-0.0096,-0.0063,-0.004,-0.7159
"68",2024-03-04,0.0269,-6e-04,-0.0116,-0.009,0.0146,-2e-04,0.0441,0.0013,0.007,0.0023,0.7537
"69",2024-03-01,0.0207,0.0037,0.0212,-8e-04,0.02,-0.0029,-0.0134,-0.0137,-0.006,0.0136,0.0125
"70",2024-02-29,0.0109,0.0021,-0.0049,-7e-04,0.0058,0.0019,-0.0133,0.0056,0.0055,-8e-04,-0.1467
"71",2024-02-28,0.0042,-9e-04,-0.0051,4e-04,-7e-04,0.0014,0.1672,-0.0107,0.0082,0.0024,0.0616
"72",2024-02-27,0.001,0.0043,0.0148,0.0136,0.0026,1e-04,-0.0265,0.0067,7e-04,-0.004,-0.186
"73",2024-02-26,-0.0196,-0.0165,0.0133,0.0111,-0.0051,-0.001,0.0349,0.0018,0.0109,8e-04,0.8353
"74",2024-02-23,0.0081,-0.0031,-0.0237,-0.0245,0.0092,-2e-04,-0.125,-0.0051,-0.0076,-0.0088,-0.2733
"75",2024-02-22,-0.0039,0.0071,0.008,0.0077,-0.0017,-4e-04,-0.0166,-0.0034,-0.0097,-0.0119,0.1251
"76",2024-02-21,-0.011,0.003,0.0035,0.0084,-0.0027,-6e-04,0.1318,-0.0064,-0.0138,-0.0149,0.1296
"77",2024-02-20,0.0151,0.019,-0.0137,-0.0146,0.0097,-0.002,0.0565,0.0083,0.008,0.0031,0.0142
"78",2024-02-19,-0.0192,-0.0015,-0.0045,0.0011,-0.002,0,0.0045,-0.0026,0,7e-04,0.7577
"79",2024-02-16,0.0224,0.0209,0.0112,0.0074,0.0045,-2e-04,0.02,-0.0117,-0.0064,0.0086,-0.2887
"80",2024-02-15,0.0251,0.0141,0.0161,0.0154,0.0053,-0.0039,0.0236,-0.0073,-0.0156,0.0016,0.4585
"81",2024-02-14,0.0105,-0.0031,-0.0155,-0.0141,-0.0015,-0.0023,-0.0474,-0.0087,-0.0159,-0.0141,-0.3244
"82",2024-02-13,-0.0268,-0.0041,0.0096,0.0094,-0.0126,0.0077,-0.0447,-0.0074,-4e-04,-0.0054,0.1812
"83",2024-02-12,0.0076,0.011,7e-04,-0.0023,-0.0027,5e-04,-0.0428,-0.0016,-6e-04,0.0093,0.5971
"84",2024-02-09,-0.0018,-0.0064,0.0076,0.0069,-0.0044,-4e-04,-0.0365,0.0032,-0.0087,-0.0093,0.515
"85",2024-02-08,0.0122,-0.0102,0.0308,0.0306,-0.0018,0.0012,-0.0254,-0.0105,-0.0044,0.0046,0.1466
"86",2024-02-07,-0.0053,-0.0116,0.0074,0.0079,1e-04,-0.0015,-0.0209,0.0022,-0.0139,-0.0085,-0.1681
"87",2024-02-06,0.0025,0.0018,0.0071,0.0077,0.0041,-0.0024,-0.0351,0.001,-0.0084,0.0023,-0.0583
"88",2024-02-05,-0.0163,-0.0122,0.0076,0.0085,-0.0052,0.0052,0.0014,-0.0119,-0.0076,0.0077,0.3848
"89",2024-02-02,-0.0188,-0.0078,-0.0202,-0.0174,-0.0082,0.0088,0.0141,0.0018,-0.011,-0.0108,0.1491
"90",2024-02-01,0.0028,-0.0127,-0.0254,-0.0368,0.0017,-0.0021,-0.0238,0.0019,-0.014,-0.0183,-0.3303
"91",2024-01-31,-0.0025,-0.0011,-0.025,-0.014,0.008,-0.0012,0.0111,-0.0093,0.0027,-0.0022,-0.0033
"92",2024-01-30,-0.001,0.0108,0.0128,0.0057,0.0127,-0.002,-0.1659,0.0057,0.0112,0.0136,0.3838
"93",2024-01-29,0.0164,0.0066,-0.0153,-0.0138,0.0042,0.0018,-0.0819,-0.0069,-0.0166,-0.0159,-0.0833
"94",2024-01-26,-0.0023,-0.0041,0.0087,0.0136,-3e-04,-0.0013,0.0548,-0.0073,-0.0064,-0.0193,-0.3587
"95",2024-01-25,0.0017,-0.0033,0.0295,0.0299,8e-04,0.0032,-0.0265,0.0036,0.0022,-0.0168,0.2399
"96",2024-01-24,0.0189,0.0238,0.0096,0.0062,-0.0049,-0.0035,0.078,0.0058,0.0102,0,-0.0605
"97",2024-01-23,0.0073,0.0074,-0.0066,-0.0064,0.0018,0.0028,0.0128,-0.0015,4e-04,0.0146,-0.0988
"98",2024-01-22,-0.0182,-0.0058,0.0206,0.0191,-0.0034,5e-04,-0.0397,0.0031,1e-04,0.0059,0.9791
"99",2024-01-19,-0.0042,0.0109,-0.0095,-0.0068,0.0037,-0.0024,-0.066,0.0091,-0.0042,7e-04,0.2138
"100",2024-01-18,0.0061,0.0033,0.0203,0.0157,0.0075,0.001,-0.0603,0.0054,0.0034,0.0052,-0.0507
"101",2024-01-17,-0.0184,-0.009,-6e-04,-0.0052,-0.0117,9e-04,-0.0103,-0.0057,-6e-04,-0.0199,-0.0931
"102",2024-01-16,-4e-04,0.0037,-0.0037,0.0018,0.0097,0.0094,-0.0541,-0.0128,-0.003,-7e-04,0.5975
"103",2024-01-15,2e-04,0.0074,0,-0.0018,-0.0199,0,-0.0145,-7e-04,0,0,-0.0097
"104",2024-01-12,0.0272,-0.0089,0.0097,0.0114,0.0159,0.0012,0.0697,-0.0024,-0.0162,-0.0123,0.2421
"105",2024-01-11,-0.0155,-0.0014,0.0091,0.0079,-0.0043,-5e-04,0.0191,-0.0053,-0.0437,-0.005,0.3363
"106",2024-01-10,-0.0011,0.0061,-0.0118,-0.0102,-0.0025,-0.002,-0.0473,0.0032,2e-04,-0.0135,-0.7144
"107",2024-01-09,-0.0093,-0.013,0.0193,0.0193,-2e-04,0.0035,0.0705,0.0064,0.0104,7e-04,0.8166
"108",2024-01-08,-2e-04,0.0013,-0.0398,-0.0335,-0.0079,-0.002,0.0301,-0.0068,-0.0098,-0.0189,0.1802
"109",2024-01-05,0.0054,-0.0088,0.0207,0.0151,-1e-04,-1e-04,0.0255,-0.0035,-0.0066,-0.0124,-0.0758
"110",2024-01-04,0.0014,-0.0044,-0.0073,-0.0084,0.0035,-6e-04,0.0573,0.0048,0.0054,-0.0082,0.2346
"111",2024-01-03,-0.0332,-0.0046,0.0321,0.0311,-0.0147,0.003,0.0389,-0.0075,0.004,-0.0021,0.086
"112",2024-01-02,0.0058,1e-04,-0.0188,-0.0149,8e-04,0.0085,-0.0371,-0.0091,-0.0114,-0.0148,-0.1848
"113",2023-12-29,-0.0118,-0.0087,-0.0018,-0.0172,-0.0056,0.0011,-0.0168,-0.0018,-0.0064,-0.0093,0.5898
"114",2023-12-28,-0.0012,-0.0059,-0.0319,-0.0158,-0.0044,0.0026,-0.0237,0.0032,-0.0029,-0.0092,-0.3843
"115",2023-12-27,0.01,0.0142,-0.0181,-0.0175,0.0112,-0.0045,0.0271,-0.0056,-0.0098,7e-04,0.2554
"116",2023-12-26,-0.0047,7e-04,0.026,0.0253,4e-04,-0.0023,0.0546,0.0099,0.0134,0.0099,0.023
"117",2023-12-22,-8e-04,-0.0028,-0.0045,-0.004,0.0086,-0.0014,0.0148,4e-04,0.0018,0.0027,-0.2436
"118",2023-12-21,-0.0019,0.0029,-0.0052,-0.0039,0.0018,-0.0055,0.0511,-5e-04,0.0047,-0.0106,-0.1911
"119",2023-12-20,0.0127,0.0018,0.0069,0.0059,-0.0022,0.0024,-0.0181,-0.0089,-0.0034,-0.004,-0.3077
"120",2023-12-19,0.0089,0.0115,0.0154,0.0164,0.0057,-0.0072,-0.0044,0.0041,-0.0056,-0.0078,0.2652
"121",2023-12-18,-0.0019,-0.0096,0.0145,0.0183,0.0024,-1e-04,0.0048,-0.0084,-0.0097,0.0091,0.4603
"122",2023-12-15,-0.0095,-4e-04,-0.0018,-8e-04,-0.0044,0.006,0.0414,0.0078,0.0022,0,0.1296
"123",2023-12-14,0.0639,0.0275,0.0314,0.0316,0.0236,-0.0088,0.0244,0.0064,0.0061,0.0066,-0.2598
"124",2023-12-13,-0.0041,1e-04,0.0126,0.0139,0.0021,-0.0095,0.0104,-0.0124,-0.0089,-0.0125,0.1411
"125",2023-12-12,-0.0018,0.0015,-0.0379,-0.0367,-2e-04,-0.0022,-0.0166,0.008,0.0032,-0.0065,0.085
"126",2023-12-11,-0.0094,-0.0132,0.0017,0.0025,-0.0103,8e-04,-0.0615,-0.0101,-0.0082,0.0243,0.2142
"127",2023-12-08,-0.0325,0.0084,0.0266,0.0242,-0.0154,0.0046,-0.0063,-0.0032,-0.003,-0.0033,-0.2331
"128",2023-12-07,-0.007,0.0163,-9e-04,-0.0034,-7e-04,-0.0058,0.0012,0.0062,0.0067,0.0127,0.3883
"129",2023-12-06,-0.013,-0.0127,-0.0397,-0.0376,0.0056,0.0011,-0.0562,-0.0032,-0.0141,-0.0093,0.3823
"130",2023-12-05,-0.0145,-0.0138,-0.0108,-0.0106,-0.0029,0.0034,0.006,0.0024,0.0089,-7e-04,-0.7779
"131",2023-12-04,-0.0367,-0.0241,-0.0125,-0.0108,-0.0226,0.0043,-0.044,0.0152,0.002,-0.0151,0.5674
"132",2023-12-01,0.0077,0.0207,-0.0237,-0.0477,0.0156,-0.0022,-0.0103,0.0091,0.0229,-0.0104,-0.6349
"133",2023-11-30,0.0085,0.0063,-0.0249,-0.0032,-0.0047,0.0073,-7e-04,0.008,0.0229,-0.0032,0.7007
"134",2023-11-29,0.0056,-4e-04,0.0183,0.0174,0.0128,3e-04,0.0362,0.0085,0.0084,6e-04,-0.7309
"135",2023-11-28,0.0105,0.0104,0.02,0.0213,0.0134,-0.0044,-0.0315,0.01,-0.0113,0.011,0.1029
"136",2023-11-27,0.014,-0.0085,-0.009,-0.0074,0.0047,-0.0019,-0.0214,-0.0073,-0.0048,-0.0045,0.6383
"137",2023-11-24,0.0398,0.0154,-0.0075,-0.0103,0.0102,-0.005,-0.0256,-0.0068,-0.0111,-0.0155,-0.1383
"138",2023-11-23,-0.0119,-0.009,-0.0118,-0.0066,-0.0051,0,0.0114,-0.0052,-0.0026,-0.0171,-0.0872
"139",2023-11-21,0.0109,0.0021,0.0012,0.0016,0.0107,0.0013,-0.0125,0.0013,0.0015,0.0152,-0.7532
"140",2023-11-20,-0.01,0.0188,0.0235,0.0212,-0.0022,-0.0046,-0.0795,-0.0054,0.0037,0.0122,0.7018
"141",2023-11-17,-0.0031,0.0088,0.0404,0.0412,-0.0013,-0.0042,-0.0333,-0.0105,-0.0145,-0.0154,-0.1337
"142",2023-11-16,0.0168,-0.0048,-0.0482,-0.0463,0.0117,-3e-04,-0.0366,-0.0095,0.0055,-0.0133,0.2687
"143",2023-11-15,0.0175,0.009,-0.0177,-0.0156,-0.0011,0.0034,0.0824,-0.0032,-0.0136,-0.0031,-0.1266
"144",2023-11-14,0.034,0.0054,-3e-04,-6e-04,0.0082,-0.0151,-0.0285,0.0022,0.0051,0.0056,0.1232
"145",2023-11-13,0.0033,0.0197,0.0135,0.0134,0.0064,-0.0021,0.0541,0.0046,0.0265,0.0255,0.0204
"146",2023-11-10,-0.0268,-0.0145,0.0185,0.0177,-0.0162,-5e-04,-0.0026,-0.007,-0.0071,0,-0.1073
"147",2023-11-09,0.008,0.0011,0.0058,0.0059,0.006,0.0031,-0.0209,-0.0079,-0.0126,-0.016,0.4191
"148",2023-11-08,0.0059,-0.0108,-0.0246,-0.0254,-0.0079,7e-04,-0.0108,0.0074,0.0154,0.0032,-0.0566
"149",2023-11-07,-0.0277,-0.0097,-0.0421,-0.0419,-0.0076,0.0031,-0.038,-0.007,-0.0146,6e-04,-0.2658
"150",2023-11-06,-0.002,0.0102,0.0046,0.0034,-0.0052,0.0018,-0.0714,0.0015,-0.0015,0.009,0.6768
"151",2023-11-03,0.0189,0.0022,-0.0235,-0.0226,0.0028,-0.0105,0.0124,0.0055,0.0074,0.0168,-0.2274
"152",2023-11-02,0.0025,0.006,0.0257,0.0262,0.003,-0.0069,-0.0063,0.0033,-0.0107,0.0138,-0.1366
"153",2023-11-01,-0.0071,5e-04,-0.005,-0.0318,-0.0034,0.0021,-0.0227,-0.0011,-0.0087,0.008,0.3804
"154",2023-10-31,-0.0188,-0.003,-0.0144,-5e-04,-0.0056,0.0053,0.0665,-0.007,-0.01,0.0027,-0.1771
"155",2023-10-30,0.0316,0.0063,-0.0357,-0.0335,0.0036,-0.0042,0.0594,-0.0024,-0.0163,-0.01,0.4338
"156",2023-10-27,-0.001,0.0166,0.0262,0.029,5e-04,-4e-04,-0.0156,-0.0055,-0.0065,0.0127,0.4073
"157",2023-10-26,-0.0043,-0.0014,-0.0254,-0.0244,0.0013,7e-04,0.0678,0.0014,-0.0063,-0.008,-0.2114
"158",2023-10-25,-0.0048,-0.0088,0.0207,0.0234,0.0044,0.0026,0.0131,-0.009,-0.0037,-0.0053,-0.1835
"159",2023-10-24,-0.004,0.01,-0.0172,-0.0196,-8e-04,0.0071,0.0154,-0.0045,-0.0113,0.006,-0.2261
"160",2023-10-23,-0.0124,0.0063,-0.0416,-0.0253,-0.0033,-0.0062,0.0093,0.0075,-0.0087,-0.0113,1.0921
"161",2023-10-20,0.0205,-0.0098,-0.0033,-0.0024,0.0071,-5e-04,-0.0196,-0.005,-0.0165,-0.0092,-0.1247
"162",2023-10-19,-0.0029,0.0039,0.0126,0.0096,0.0061,-0.0029,-0.0324,0.0043,0.0182,0.0039,0.0174
"163",2023-10-18,0.0032,0.0019,0.0214,0.0178,0.0167,0.0029,-0.0075,0.004,0.0039,0.0112,0.1931
"164",2023-10-17,0.0114,-6e-04,0.0021,0.0028,8e-04,1e-04,-0.0096,2e-04,0.0037,0.008,-0.056
"165",2023-10-16,-0.0056,0.0028,-0.0126,-0.0136,-0.0037,-0.0038,-0.0392,0.004,-0.0013,0.004,0.6311
"166",2023-10-13,0.0426,-0.0057,0.0556,0.0569,0.0308,6e-04,-0.0323,0.0028,-0.0044,-0.0067,0.276
"167",2023-10-12,-0.0079,-0.0049,-0.0033,0.0021,-0.0023,0.0076,-0.0098,0.0044,0.0085,0.0277,-0.1987
"168",2023-10-11,0.008,-0.0056,-0.0245,-0.0209,0.0064,1e-04,-0.0015,-0.005,-0.0046,-0.015,0.0261
"169",2023-10-10,0.0017,-0.003,-0.0056,-0.0057,0.0059,-0.0024,0.0018,-0.0065,-0.0157,0.0047,0.1319
"170",2023-10-09,0.0093,0.0055,0.0408,0.0422,0.0102,3e-04,0.0114,0.0067,-0.0035,-0.0034,1.0989
"171",2023-10-06,0.0335,0.0213,0.0058,0.0061,0.0073,-0.0026,0.0543,-0.0025,-0.0058,-0.0101,1.0887
"172",2023-10-05,-0.0062,-0.0104,-0.0211,-0.0203,-0.0016,-0.0044,0.0689,0.0172,0.0179,0.0047,-0.1202
"173",2023-10-04,-0.0107,-0.0086,-0.0559,-0.0562,-0.0037,-0.0018,0.0044,-0.0093,0.0023,-0.006,-0.5585
"174",2023-10-03,-0.0022,-0.0061,0.0031,0.0023,-0.0031,0.0011,0.0384,0.0036,-0.0016,-0.0053,0.521
"175",2023-10-02,-0.0457,-0.0251,-0.0184,-0.0483,-0.0101,0.0075,-0.0304,0.0033,0.0125,-0.0046,0.4895
"176",2023-09-29,-0.0127,0.0083,-0.0088,-7e-04,-0.0066,-0.0011,-0.0054,-0.0293,-0.0204,-0.0164,0.2944
"177",2023-09-28,0.006,0.0218,-0.0187,-0.0121,0.0038,-0.0041,0.0655,-0.0028,0.0071,-0.0019,-0.4549
"178",2023-09-27,-0.0203,-0.0037,0.0284,0.0276,-0.0151,0.0041,0.0407,-0.0118,-0.0031,0.0039,0.2222
"179",2023-09-25,-0.0193,-0.007,-0.002,2e-04,-0.0046,0.0041,8e-04,-0.002,0.0051,0.0013,0.5042
"180",2023-09-22,0.0066,1e-04,3e-04,-3e-04,0.0031,0.0021,0.0103,-4e-04,0.0025,0.0026,-0.2133
"181",2023-09-21,-0.0063,-0.0205,-0.0149,-0.0025,-0.014,0.0024,-0.045,-0.0087,-0.0053,-0.0175,-0.1544
"182",2023-09-20,0.0162,0.0077,-0.0091,-0.0086,0.0069,-4e-04,-0.0404,0.0023,0.0047,-0.0026,-0.0871
"183",2023-09-19,-0.0018,-0.0086,-0.0011,-0.001,2e-04,-0.0044,0.044,0.0016,0.0041,-0.0032,0.5925
"184",2023-09-18,0.0048,-0.0058,0.0062,0.0053,0.0037,-3e-04,0.0318,-0.0034,-0.0081,-0.0165,0.5784
"185",2023-09-15,0.017,-0.0051,0.0046,0.0025,0.0069,-7e-04,-0.0236,0.0072,7e-04,-0.0156,-0.1636
"186",2023-09-14,-0.0081,0.0072,0.0197,0.0198,2e-04,0.0062,0.0104,-1e-04,0.0061,0.0044,-0.0702
"187",2023-09-13,-0.0094,3e-04,-0.0032,-0.002,-0.0013,6e-04,-0.023,0.0108,0.009,0.0031,-0.2021
"188",2023-09-12,8e-04,-0.0037,0.0173,0.0157,-0.0062,0.0014,0.0518,0.0067,-0.0116,-0.0155,0.5678
"189",2023-09-11,0.009,0.0242,-0.0017,-1e-04,0.0023,-0.005,0.0012,0.0036,0.0071,0.0037,1.7283
"190",2023-09-08,-0.0028,-0.0123,0.0077,0.0081,1e-04,4e-04,0.0101,-0.0016,0.0014,0.0056,-0.0025
"191",2023-09-07,-0.0112,-0.0061,-0.0074,-0.0075,-9e-04,0.002,0.0275,-0.0028,0.0046,-0.005,0.0474
"192",2023-09-06,-0.0155,-0.0161,0.0091,0.0062,-0.0043,6e-04,-0.0279,0.0163,0.0096,0.0087,-0.4633
"193",2023-09-05,-0.0178,0.0067,0.0022,0.0117,0,0.0055,-0.0246,0.0042,0.0198,-0.005,0.191
"194",2023-09-04,-0.0093,-0.006,-3e-04,0.0051,-0.0074,0,-0.009,-0.0018,-0.0044,0,1.8166
"195",2023-09-01,-0.0101,0.0077,0.0216,0.0195,6e-04,0.0058,-0.0011,-0.0017,0.0037,-0.0018,-0.4687
"196",2023-08-31,-0.0116,-0.0056,0.0227,0.0116,-0.0036,0.0048,-0.01,-0.0051,0.004,-0.0105,-0.3298
"197",2023-08-30,-0.0014,0.0038,0.0055,0.0043,0.004,-0.0037,0.0939,0.0018,0.0017,6e-04,0.3451
"198",2023-08-29,0.0217,0.0124,0.0127,0.0127,0.0094,-0.005,-0.0089,-0.0121,-0.0106,-0.0092,0.4271
"199",2023-08-28,9e-04,0.0021,0.0023,-7e-04,0.0036,-2e-04,0.0154,-0.0068,0.0241,0.011,0.5873
"200",2023-08-25,3e-04,-0.0025,0.0106,0.0134,-0.0037,9e-04,0.0083,-0.0056,-9e-04,0.0099,-0.4249
